pulse_index,soc_at_pulse_start,pulse_current_A,pulse_duration_s,R0,R1,C1,tau1_s,fit_rmse_V
10,1.000272347982405,-1.32814,9.88299999999981,0.006219223877000868,0.002540854588534621,1069.7669438512955,2.7181222479472225,0.00021439062910523585
9,1.0002448994875004,35.99989,9.897000000000844,0.009827252249937418,0.003958165694072312,129035.80376523384,510.7450917705955,0.016323771876071317
7,1.0001851020976835,-1.07784,9.715000000000146,0.006253247235210928,0.006861698732344351,81.62825831759599,0.5601085166213257,0.0005074142469746163
6,1.0000947995898155,18.00122,9.89100000000144,0.008688300015221221,0.005170884959142455,27460.518417609328,141.99518165587045,0.009518783689021443
3,1.000050989138889,5.99956,9.897999999999229,0.006457140190280583,0.007932977273085165,4781.221447505923,37.92932108065184,0.0021273075764924763
0,0.9999833132777779,3.00361,9.907000000001062,0.007344495457133165,0.009310071576810389,3675.334023007825,34.21762282288933,0.0014171670436745466
4,0.9999792099101853,-0.72537,7.897000000000844,0.009994899154914015,0.004502983317802746,486.41522146812724,2.1903196277963053,0.0002562951298435073
1,0.999881794985185,-0.60022,6.747000000001208,0.009829729099331013,0.00555450942354076,359.19376437010686,1.9951451490708378,0.000275939955068949
21,0.9560468206217565,0.89649,56.784999999999854,0.0197213577396294,0.004747494070878432,2985.208908444228,14.17226159317245,9.538864048934932e-05
18,0.9530510786398125,0.89904,23.473000000001775,0.0179636056237761,0.0040026531834645405,2974.4435808091143,11.905666067761269,5.527069928496553e-05
15,0.9514252098236093,0.89904,6.697000000000116,0.01721836625734134,0.0030910770269643732,3600.5662470092952,11.129627610193763,7.860469709331224e-05
23,0.9511377254569396,-10.63022,9.886999999998807,0.009387388031480027,0.002315683497747746,839.4225308181309,1.9438369022531945,0.0021800904193693643
22,0.951089735140272,35.99989,9.903999999998632,0.009438639951399859,0.003213415910452971,4906.782825119101,15.767533999375098,0.006999265097621728
19,0.9509614067064804,18.00122,9.902000000001863,0.008622748902574352,0.003721911205917003,4881.623635726763,18.16896971288074,0.0033759731323955125
20,0.950928377223146,-5.9945,9.90599999999904,0.006410876636917168,0.0029738059474184856,969.578636181364,2.8833387147660443,0.0006179283462796314
16,0.9507946798194431,5.99956,9.897000000000844,0.00659881724659816,0.004556468946652081,4136.482290105855,18.847753103243612,0.0018599316976285452
17,0.9507052457217567,-3.00108,9.89600000000064,0.006794220747197645,0.003724098128549509,445.4615860604538,1.658942658988432,0.001116141666317996
13,0.9505625334527749,3.00361,9.916999999997643,0.006219182916557012,0.004993884286099743,3994.271518524526,19.94692977077539,0.0011413925560683862
14,0.9504613564912017,-1.52225,9.900000000001455,0.006313023484973125,0.003692967829739486,460.95773788817,1.702302096890498,0.0005164526573157148
34,0.9100703774560106,0.89904,57.12299999999959,0.017774515038262908,0.0049118315733323835,3318.694553247109,16.30086868888536,0.00010651914389497086
31,0.9070761655337921,0.89904,23.35099999999511,0.016840185086313967,0.0041726476430012085,3392.0010309864633,14.153625107003336,9.706672896334095e-05
