soc,ocv_discharge,ocv_charge,ocv_mean,hysteresis_V
0.0,2.9408177090427237,3.0555794476881064,2.998198578365415,0.11476173864538275
0.01,3.076736321410082,3.162552791146238,3.11964455627816,0.08581646973615609
0.02,3.1686802816711626,3.2384792855884488,3.203579783629806,0.06979900391728622
0.03,3.238897438103277,3.2972736450168654,3.268085541560071,0.05837620691358847
0.04,3.2936597530435403,3.343718749615973,3.3186892513297566,0.05005899657243251
0.05,3.3280401723750423,3.372798438892359,3.3504193056337006,0.044758266517316514
0.06,3.3472959161527855,3.384372077531346,3.365833996842066,0.037076161378560624
0.07,3.3607478157508925,3.392771316396616,3.3767595660737544,0.03202350064572368
0.08,3.3716391317985503,3.4007582162039554,3.386198674001253,0.029119084405405005
0.09,3.381082998152905,3.408428577233604,3.3947557876932546,0.0273455790806989
0.1,3.3894211164261043,3.416054396361839,3.4027377563939716,0.0266332799357345
0.11,3.396939786480556,3.4237634823478493,3.4103516344142024,0.026823695867293385
0.12,3.4041004167040123,3.431772818607405,3.417936617655709,0.027672401903392707
0.13,3.4115015424614494,3.4408916608448044,3.426196601653127,0.029390118383354924
0.14,3.4212389659132736,3.4512763834752347,3.436257674694254,0.0300374175619611
0.15,3.4365537484635085,3.462773133789084,3.4496634411262965,0.02621938532557566
0.16,3.450363451282277,3.474706035689571,3.462534743485924,0.024342584407293977
0.17,3.4627173058037704,3.4862486677770512,3.474482986790411,0.023531361973280873
0.18,3.475167674842104,3.497476519949066,3.486322097395585,0.02230884510696196
0.19,3.486027878084973,3.5091083795225475,3.4975681288037603,0.02308050143757434
0.2,3.4953809054083838,3.519965343006522,3.507673124207453,0.02458443759813811
0.21,3.504351201407438,3.529762219559877,3.5170567104836574,0.025411018152438736
0.22,3.5134476629284874,3.540235092209877,3.5268413775691823,0.026787429281389663
0.23,3.522936401881612,3.5516516116506884,3.5372940067661505,0.028715209769076377
0.24,3.5322550890763886,3.561883488297337,3.547069288686863,0.02962839922094851
0.25,3.5409736685925277,3.569544835481013,3.5552592520367705,0.028571166888485156
0.26,3.5491258836819486,3.5763527559060977,3.562739319794023,0.0272268722241491
0.27,3.556757923073758,3.5831594346821736,3.569958678877966,0.02640151160841553
0.28,3.564265013598333,3.589695708069778,3.5769803608340554,0.02543069447144486
0.29,3.5715226970832594,3.5960857033547056,3.5838042002189825,0.02456300627144614
0.3,3.5787421219881215,3.6020610242824764,3.590401573135299,0.02331890229435496
0.31,3.5854254355249084,3.607687088279942,3.596556261902425,0.022261652755033445
0.32,3.5918503097324175,3.6134968202132582,3.6026735649728376,0.021646510480840764
0.33,3.5978532592365426,3.619269534095167,3.6085613966658547,0.021416274858624185
0.34,3.6036781426869617,3.6248936926357813,3.6142859176613715,0.02121554994881958
0.35000000000000003,3.6095380152545022,3.63068300343032,3.6201105093424113,0.02114498817581767
0.36,3.6154493704529256,3.6362997483409436,3.6258745593969346,0.020850377888018023
0.37,3.62108314503362,3.642009220109252,3.631546182571436,0.020926075075632156
0.38,3.6270951591627134,3.6478932238073236,3.6374941914850183,0.020798064644610204
